Date,AAPL,MSFT,NVDA,SPY
2020-01-02,72.40052032470703,152.158447265625,5.971076488494873,297.6989440917969
2020-01-03,71.69664764404297,150.2637481689453,5.875504016876221,295.4446716308594
2020-01-06,72.2679214477539,150.65216064453125,5.900144100189209,296.5718688964844
2020-01-07,71.92807006835938,149.27859497070312,5.97157621383667,295.7380065917969
2020-01-08,73.08509826660156,151.6562957763672,5.982776641845703,297.3140869140625
2020-01-09,74.63748168945312,153.55093383789062,6.048482894897461,299.3302307128906
2020-01-10,74.80622100830078,152.8404541015625,6.080836296081543,298.4686279296875
2020-01-13,76.4044189453125,154.67825317382812,6.271485328674316,300.5213317871094
2020-01-14,75.3727035522461,153.5888671875,6.154508590698242,300.0631408691406
2020-01-15,75.0497055053711,154.58352661132812,6.111947536468506,300.7413024902344
2020-01-16,75.98979949951172,157.41604614257812,6.195574760437012,303.2429504394531
2020-01-17,76.83106231689453,158.29701232910156,6.204286098480225,304.1867980957031
2020-01-21,76.3104019165039,157.72865295410156,6.170934677124023,303.591064453125
2020-01-22,76.58280944824219,156.9707489013672,6.224944114685059,303.6278991699219
2020-01-23,76.95161437988281,157.93704223632812,6.2933878898620605,303.97613525390625
2020-01-24,76.72982025146484,156.34552001953125,6.234152317047119,301.2727355957031
2020-01-27,74.47360229492188,153.73095703125,5.978295803070068,296.4436340332031
2020-01-28,76.58038330078125,156.74342346191406,6.171682357788086,299.55010986328125
2020-01-29,78.18339538574219,159.1875,6.111202239990234,299.3027038574219
2020-01-30,78.07009887695312,163.67774963378906,6.117923259735107,300.27392578125
2020-01-31,74.60858917236328,161.26210021972656,5.884464263916016,294.8216247558594
2020-02-03,74.40367889404297,165.19349670410156,5.981531143188477,297.0116882324219
2020-02-04,76.8600082397461,170.63113403320312,6.150774955749512,301.53851318359375
2020-02-05,77.48677062988281,170.42269897460938,6.241121292114258,305.02069091796875
2020-02-06,78.39311218261719,173.9562225341797,6.3279829025268555,306.047119140625
2020-02-07,77.32756042480469,174.20257568359375,6.261779308319092,304.41595458984375
2020-02-10,77.69480895996094,178.7591094970703,6.545013904571533,306.6885681152344
2020-02-11,77.2260513305664,174.7235565185547,6.667466163635254,307.22003173828125
2020-02-12,79.05999755859375,174.9793243408203,6.783199787139893,309.19940185546875
2020-02-13,78.49701690673828,174.03201293945312,6.739396572113037,308.8695373535156
2020-02-14,78.516357421875,175.58555603027344,7.212532043457031,309.3642883300781
2020-02-18,77.07866668701172,177.3665771484375,7.3812785148620605,308.5671691894531
2020-02-19,78.19497680664062,177.8984832763672,7.832512855529785,310.0424499511719
2020-02-20,77.39276885986328,175.18174743652344,7.68317985534668,308.7686767578125
2020-02-21,75.64099884033203,169.64381408691406,7.319055557250977,305.58892822265625
2020-02-24,72.04801940917969,162.32948303222656,6.80161714553833,295.453857421875
2020-02-25,69.6075668334961,159.6508331298828,6.522116184234619,286.5010070800781
2020-02-26,70.7118148803711,161.6455841064453,6.661492824554443,285.4471740722656
2020-02-27,66.08951568603516,150.25625610351562,6.290676593780518,272.62725830078125
2020-02-28,66.05086517333984,153.89439392089844,6.72574520111084,271.4818420410156
2020-03-02,72.20023345947266,164.13436889648438,6.884133338928223,283.2388610839844
2020-03-03,69.90721893310547,156.26914978027344,6.62164831161499,275.12896728515625
2020-03-04,73.14982604980469,162.00657653808594,7.085354804992676,286.6935119628906
2020-03-05,70.77706909179688,157.9409637451172,6.805936336517334,277.16326904296875
2020-03-06,69.8371353149414,153.47640991210938,6.625382900238037,272.5815124511719
2020-03-09,64.31356811523438,143.07493591308594,6.11236572265625,251.2943115234375
2020-03-10,68.94554901123047,152.8589630126953,6.501860618591309,264.29754638671875
2020-03-11,66.55101776123047,145.93414306640625,6.138016223907471,251.41346740722656
2020-03-12,59.978797912597656,132.0940399169922,5.386921405792236,227.3589324951172
2020-03-13,67.16475677490234,150.87368774414062,5.997809886932373,246.7949676513672
2020-03-16,58.52421569824219,128.63636779785156,4.891088962554932,219.78973388671875
2020-03-17,61.097537994384766,139.22784423828125,5.410829544067383,231.65670776367188
2020-03-18,59.60186767578125,133.3668975830078,5.050970554351807,219.92721557617188
2020-03-19,59.14519119262695,135.56118774414062,5.303743362426758,220.39453125
2020-03-20,55.390323638916016,130.46969604492188,5.123939037322998,210.8968505859375
2020-03-23,54.213600158691406,129.16827392578125,5.296769142150879,205.50460815429688
2020-03-24,59.65260696411133,140.90911865234375,6.205506801605225,224.12399291992188
2020-03-25,59.323997497558594,139.56027221679688,6.11685037612915,227.4791717529297
2020-03-26,62.44580841064453,148.28994750976562,6.40623140335083,240.7616729736328
2020-03-27,59.860408782958984,142.20098876953125,6.293915271759033,233.5903778076172
2020-03-30,61.56869888305664,152.20352172851562,6.614176273345947,241.17636108398438
2020-03-31,61.44304275512695,149.80975341796875,6.564619064331055,237.58151245117188
2020-04-01,58.21009063720703,144.4902801513672,6.053343772888184,226.8892059326172
2020-04-02,59.18143081665039,147.48251342773438,6.362151145935059,232.124755859375
2020-04-03,58.33091354370117,146.1240997314453,6.074265003204346,228.76959228515625
2020-04-06,63.4195556640625,156.9910430908203,6.6841559410095215,244.13519287109375
2020-04-07,62.685001373291016,155.30023193359375,6.450809001922607,244.3840789794922
2020-04-08,64.28941345214844,156.8581085205078,6.648044586181641,252.5876922607422
2020-04-09,64.7533187866211,156.86756896972656,6.548431396484375,256.43133544921875
2020-04-13,66.0242691040039,157.2190399169922,6.720266342163086,254.0901336669922
2020-04-14,69.35871124267578,164.998779296875,7.071407794952393,261.583984375
2020-04-15,68.72566223144531,163.26995849609375,6.993958473205566,256.0258483886719
2020-04-16,69.271728515625,168.17147827148438,7.339123249053955,257.260986328125
2020-04-17,68.33181762695312,169.6533203125,7.279852867126465,264.2109069824219
